Sessao;Data;Hora Inicio;Hora Fim;Fase Alcancada;Nivel Alcancado;Qt Acertos sem Ajuda;Qt Erros;Qt Acertos com Ajuda;Qt Ajudas;Qt Omissoes;Qt Colisoes
52;11/10/24;19:21:41;19:22:28;1;10;0;0;0;0;0;0
53;11/10/24;19:39:10;19:39:50;1;10;0;0;0;0;0;0
54;11/10/24;19:39:51;19:40:18;1;10;0;0;0;0;0;0
55;11/10/24;20:04:34;20:04:36;1;10;0;0;0;0;0;0
56;11/10/24;20:08:45;20:08:48;1;10;0;0;0;0;0;0
57;11/10/24;20:09:56;20:09:57;1;10;0;0;0;0;0;0
58;11/10/24;20:40:18;20:40:31;1;10;0;0;0;0;0;0
59;11/10/24;20:41:53;20:45:56;1;10;0;0;0;0;0;0
60;11/10/24;20:46:22;20:46:33;1;10;0;0;0;0;0;0
61;11/10/24;20:56:31;20:56:55;1;10;0;0;0;0;0;0
62;11/10/24;20:56:55;20:57:08;1;10;0;0;0;0;0;0
63;11/10/24;21:11:54;21:11:56;1;10;0;0;0;0;0;0
64;11/10/24;21:12:41;21:12:47;1;10;0;0;0;0;0;0
65;11/10/24;21:21:31;21:21:53;1;10;0;0;0;0;0;0
66;11/10/24;21:35:47;21:37:12;1;11;4;-1;0;0;0;0
67;11/10/24;21:37:13;21:37:34;1;11;0;0;0;0;0;0
68;11/10/24;21:45:40;21:46:05;1;11;0;0;0;0;0;0
69;11/10/24;21:46:06;21:51:05;1;12;3;0;0;0;0;0
70;11/10/24;21:53:07;21:53:41;1;12;0;0;0;0;0;0
71;11/11/24;14:08:29;14:09:07;1;6;3;0;0;0;0;0
72;11/11/24;14:16:04;14:19:12;1;8;5;1;0;0;0;0
73;11/11/24;14:19:13;14:21:15;1;8;0;0;0;0;0;0
74;11/11/2024;14:33:07;14:33:42;1;8;0;0;0;0;0;0
75;11/11/2024;14:43:05;14:50:05;1;9;3;0;0;0;0;0
76;11/11/2024;15:00:31;15:00:41;1;9;0;0;0;0;0;0
77;11/11/2024;15:50:15;15:52:42;1;9;0;0;0;0;0;0
78;11/11/2024;15:57:27;15:58:20;1;9;0;0;0;0;0;5
79;11/11/2024;15:58:20;15:58:58;1;9;0;0;0;0;0;0
80;11/11/2024;15:58:58;15:59:21;1;9;0;0;0;0;0;0
81;11/11/2024;15:59:22;15:59:38;1;9;0;0;0;0;0;0
82;11/11/2024;15:59:39;15:59:48;1;9;0;0;0;0;0;0
83;11/11/2024;17:02:36;17:02:44;1;9;0;0;0;0;0;0
84;11/11/2024;17:03:16;17:05:37;1;9;0;0;0;0;0;0
85;11/11/2024;17:05:44;17:07:42;1;9;0;0;0;0;0;0
86;11/11/2024;17:09:15;17:20:48;1;9;0;0;0;0;0;0
87;11/11/2024;17:27:51;17:28:02;1;9;0;0;0;0;0;0
88;11/11/2024;17:30:19;17:30:50;1;9;0;0;0;0;0;0
89;11/11/2024;17:34:28;17:35:57;1;9;0;0;0;0;0;0
90;11/11/2024;17:37:32;17:39:37;1;9;0;0;0;0;0;0
91;11/11/2024;17:39:45;17:42:17;1;9;0;0;0;0;0;0
92;11/11/2024;17:42:24;17:43:48;1;9;0;0;0;0;0;0
93;11/11/2024;17:48:12;17:50:25;1;9;0;0;0;0;0;0
94;11/11/2024;17:55:16;17:55:35;1;9;0;0;0;0;0;0
95;11/11/2024;19:15:33;19:16:24;1;9;0;0;0;0;0;0
96;11/11/2024;19:18:09;19:19:36;1;9;0;0;0;0;0;0
97;11/11/2024;19:19:43;19:21:21;1;9;0;0;0;0;0;0
98;11/11/2024;19:21:28;19:21:45;1;9;0;0;0;0;0;0
99;11/11/2024;19:24:21;19:28:14;1;9;0;0;0;0;0;0
100;11/11/2024;19:28:33;19:33:27;1;10;2;1;0;0;0;0
101;11/11/2024;19:37:47;19:39:25;1;10;0;0;0;0;0;0
102;11/11/2024;19:39:34;19:40:42;1;10;0;0;0;0;0;0
103;11/11/2024;19:40:49;19:41:29;1;10;0;0;0;0;0;0
104;11/11/2024;19:41:36;19:41:46;1;10;0;0;0;0;0;0
105;11/11/2024;19:41:53;19:42:01;1;10;0;0;0;0;0;0
106;11/11/2024;19:42:08;19:43:04;1;10;0;0;0;0;0;0
107;11/11/2024;19:43:12;19:43:20;1;10;0;0;0;0;0;0
108;11/11/2024;19:55:59;19:58:16;1;10;0;0;0;0;0;0
109;11/11/2024;19:58:23;19:59:21;1;10;0;0;0;0;0;0
110;11/11/2024;20:27:31;20:30:39;1;10;0;0;0;0;0;0
111;11/11/2024;20:30:47;20:31:32;1;10;0;0;0;0;0;0
112;11/11/2024;20:31:39;20:31:43;1;10;0;0;0;0;0;0
113;11/11/2024;20:32:53;20:33:10;1;10;0;0;0;0;0;0
114;11/11/2024;20:33:51;20:34:04;1;10;0;0;0;0;0;0
115;11/11/2024;20:35:25;20:36:51;1;10;0;0;0;0;0;0
116;11/11/2024;20:36:59;20:37:48;1;10;0;0;0;0;0;0
117;11/11/2024;20:37:55;20:39:07;1;10;0;0;0;0;0;0
118;11/11/2024;20:39:17;20:41:02;1;10;0;0;0;0;0;0
119;11/11/2024;20:41:11;20:41:26;1;10;0;0;0;0;0;0
120;11/11/2024;20:42:29;20:42:32;1;10;0;0;0;0;0;0
121;11/11/2024;20:44:59;20:45:21;1;10;0;0;0;0;0;0
122;11/11/2024;20:45:30;20:45:56;1;10;0;0;0;0;0;0
123;11/11/2024;20:46:02;20:46:14;1;10;0;0;0;0;0;0
124;11/11/2024;20:46:21;20:46:37;1;10;0;0;0;0;0;0
125;11/11/2024;20:56:14;20:57:33;1;10;0;0;0;0;0;0
126;11/11/2024;20:57:41;20:58:18;1;10;0;0;0;0;0;0
127;11/11/2024;20:59:13;21:04:41;1;10;0;0;0;0;0;0
128;11/11/2024;21:08:44;21:20:21;1;11;2;1;1;2;0;2
