ID,Sessao,Hora do Evento,Fase,Nivel,Posicao jogador,Posicao Evento,Tipo de Evento
165,1,14:26:56,2,3,1,1,Colidiu com Obstaculo
166,1,14:26:57,2,3,2,1,Trocou de Pista
167,1,14:26:57,2,3,1,2,Trocou de Pista
168,1,14:26:59,2,3,1,0,Desviou de Obstaculo
169,1,14:27:00,2,3,1,0,Criou Obstaculo
170,1,14:27:01,2,3,2,1,Trocou de Pista
171,1,14:27:01,2,3,1,2,Trocou de Pista
172,1,14:27:01,2,3,2,1,Trocou de Pista
173,1,14:27:03,2,3,1,1,Desviou de Obstaculo
174,1,14:27:04,2,3,1,2,Trocou de Pista
175,1,14:27:04,2,3,1,1,Criou Obstaculo
176,1,14:27:07,2,3,1,0,Desviou de Obstaculo
177,1,14:27:08,2,3,1,0,Criou Obstaculo
178,1,14:27:11,2,3,2,1,Trocou de Pista
179,1,14:27:11,2,3,1,2,Trocou de Pista
180,1,14:27:11,2,3,1,1,Colidiu com Obstaculo
181,1,14:27:12,2,3,1,1,Criou Obstaculo
182,1,14:27:14,2,3,0,1,Trocou de Pista
183,1,14:27:15,2,3,1,0,Trocou de Pista
184,1,14:27:16,2,3,1,0,Desviou de Obstaculo
185,1,14:27:16,2,3,1,0,Criou Obstaculo
186,1,14:27:19,2,3,0,1,Trocou de Pista
187,1,14:27:19,2,3,1,1,Desviou de Obstaculo
188,1,14:27:20,2,3,1,0,Trocou de Pista
189,1,14:27:20,2,3,0,1,Trocou de Pista
190,1,14:27:20,2,3,1,0,Trocou de Pista
191,1,14:27:23,2,3,1,0,Desviou de Obstaculo
192,1,14:27:26,2,3,0,1,Trocou de Pista
193,1,14:27:26,2,3,1,0,Trocou de Pista
194,1,14:27:28,2,3,1,1,Controle Jogo: Avanca Nivel
195,2,14:27:45,2,4,1,1,Criou Obstaculo
196,2,14:27:47,2,4,1,1,Controle UFE: Pause
197,1,14:48:41,2,1,1,1,Criou Obstaculo
198,1,14:48:41,2,1,0,1,Trocou de Pista
199,1,14:48:47,2,1,1,0,Trocou de Pista
200,1,14:48:48,2,1,0,1,Trocou de Pista
201,1,14:48:49,2,1,0,0,Criou Obstaculo
202,1,14:48:51,2,1,1,0,Trocou de Pista
203,1,14:48:52,2,1,0,1,Trocou de Pista
204,1,14:48:52,2,1,1,0,Trocou de Pista
205,1,14:48:55,2,1,1,1,Colidiu com Obstaculo
206,1,14:48:56,2,1,0,1,Trocou de Pista
207,1,14:48:57,2,1,1,0,Trocou de Pista
208,1,14:48:57,2,1,0,1,Trocou de Pista
209,1,14:48:57,2,1,1,0,Trocou de Pista
210,1,14:49:03,2,1,1,0,Desviou de Obstaculo
211,1,14:49:04,2,1,0,1,Trocou de Pista
212,1,14:49:11,2,1,1,1,Controle Jogo: Avanca Nivel
213,1,14:49:47,2,1,1,2,Criou Obstaculo
214,1,14:49:47,2,1,0,1,Trocou de Pista
